split_seed,strategy,topk_enrichment,ndcg,hypervolume,n_candidates,k,enrich_pareto_rank,ndcg_pareto_rank,enrich_rank_product,ndcg_rank_product,enrich_threshold_gate,ndcg_threshold_gate,topk_feasible_frac
103,activity_only,0.16666666666666666,0.6415081170888232,0.3577248165084582,533,20,0.35,0.9974429892627441,0.15,0.8517335270615018,0.0,0.07534783494222345,0.0
103,toxicity_exclusion,0.3666666666666667,0.8076475936107039,0.4670977223974043,86,20,0.35,0.99642539397402,0.35,0.8529873645012103,0.4,0.5735300223568816,1.0
103,weighted_sum,0.5166666666666667,0.9610288627011806,0.45397406607017166,533,20,0.25,0.9982737442889187,0.65,0.9875812838500265,0.65,0.8972315599645966,0.6
103,agent_improved,0.6666666666666666,0.9617537540489577,0.49446045079352735,533,20,0.55,0.9996001317689445,0.75,0.9779682439176661,0.7,0.9076928864602624,0.8
103,rule_only,0.26666666666666666,0.8376271592260535,0.42687315967769596,295,20,0.1,0.9950738757465601,0.35,0.9189775200989481,0.35,0.5988300818326523,0.3
103,random,0.06666666666666667,0.5605268510593021,0.36273258972853795,533,20,0.05,0.8888867131861609,0.05,0.572019720534438,0.1,0.22067411945730742,0.2
103,random_weight_search,0.6333333333333333,0.9412271138783012,0.547911062552355,533,20,0.5,0.9995463667384752,0.8,0.9915048332610814,0.6,0.8326301416353471,0.55
103,nsga2_crowding,0.5166666666666667,0.7612714606780046,0.5456889910243042,533,20,0.65,1.0,0.6,0.9237997144241602,0.3,0.36001466760985346,0.5
104,activity_only,0.09999999999999999,0.6234121499296451,0.3149387966432355,533,20,0.25,0.99509934355728,0.05,0.8311181044333734,0.0,0.04401900179828167,0.0
104,toxicity_exclusion,0.31666666666666665,0.8452948663320147,0.4740491842937933,78,20,0.3,0.9975970244357026,0.2,0.829059746291553,0.45,0.7092278282687883,1.0
104,weighted_sum,0.6166666666666667,0.9382154913683629,0.4688083977403078,533,20,0.4,0.9990180904658826,0.9,0.9929800918133365,0.55,0.8226482918258697,0.45
104,agent_improved,0.6666666666666666,0.9677735901678363,0.5257323522313473,533,20,0.45,0.9997807280472588,0.75,0.9654946104473449,0.8,0.9380454320089054,0.6
104,rule_only,0.38333333333333336,0.8619552671986531,0.38963194095799425,294,20,0.3,0.9971494438193851,0.55,0.9679052566401206,0.3,0.6208111011364535,0.3
104,random,0.06666666666666667,0.5122298619767215,0.33395856584475486,533,20,0.05,0.8403181224678627,0.1,0.5002448659225694,0.05,0.19612659753973236,0.2
104,random_weight_search,0.6333333333333333,0.9354829791516462,0.47358217585728635,533,20,0.4,0.9995561245204583,0.9,0.9951075431657189,0.6,0.8117852697687615,0.55
104,nsga2_crowding,0.39999999999999997,0.7866278500010867,0.5393133508441488,533,20,0.4,1.0,0.5,0.9235841104456023,0.3,0.436299439557658,0.45
105,activity_only,0.13333333333333333,0.6440059123086077,0.36894243688940376,533,20,0.4,0.9981052560520665,0.0,0.8219417402610947,0.0,0.11197074061266206,0.0
105,toxicity_exclusion,0.3666666666666667,0.8843663715719282,0.43508480056939225,87,20,0.3,0.990996512445251,0.3,0.8773422224778215,0.5,0.7847603797927121,1.0
105,weighted_sum,0.5499999999999999,0.9486514548914448,0.48161007848163206,533,20,0.25,0.998606978626318,0.8,0.9913488063708535,0.6,0.8559985796771625,0.65
105,agent_improved,0.6666666666666666,0.9823604168688433,0.5038168204276402,533,20,0.45,0.9988819281176834,0.7,0.9729414084366407,0.85,0.975257914052206,0.9
105,rule_only,0.2833333333333333,0.8302716826928789,0.37049601960503387,293,20,0.1,0.9954476944417803,0.5,0.9514760041521279,0.25,0.5438913494847288,0.4
105,random,0.06666666666666667,0.6416257463892995,0.4062342377467863,533,20,0.05,0.9314740994753681,0.05,0.6894166016259512,0.1,0.30398653806657894,0.25
105,random_weight_search,0.6,0.9475466821801182,0.5038168204276402,533,20,0.3,0.9987932104788478,0.9,0.9979695771550109,0.6,0.8458772589064959,0.75
105,nsga2_crowding,0.4333333333333333,0.8011288489270595,0.5449456727934512,533,20,0.5,1.0,0.45,0.923781979046155,0.35,0.47960456773502336,0.65
106,activity_only,0.13333333333333333,0.6624094740091483,0.35107272464675554,533,20,0.25,0.9968421458564789,0.15,0.8542115087538543,0.0,0.1361747674171114,0.0
106,toxicity_exclusion,0.19999999999999998,0.7824413399772724,0.45321785493081357,95,20,0.15,0.9941045461794726,0.1,0.8064965378910359,0.35,0.5467229358613083,1.0
106,weighted_sum,0.5666666666666667,0.9751511527009441,0.45757768753063116,533,20,0.3,0.9983461910109807,0.7,0.9860684859508565,0.7,0.9410387811409952,0.75
106,agent_improved,0.6333333333333334,0.9653488965756543,0.4704366830761208,533,20,0.4,0.9991684728106706,0.8,0.9831720989085523,0.7,0.9137061180077398,0.75
106,rule_only,0.3833333333333333,0.8545674267842553,0.39980207310111854,282,20,0.2,0.9941851713619978,0.55,0.9607655394175756,0.4,0.6087515695731929,0.5
106,random,0.03333333333333333,0.5771522433779993,0.3216596149315802,533,20,0.05,0.9091757904969968,0.0,0.5945058840467023,0.05,0.22777505559029854,0.15
